阈值边缘检测,GPUIMAGE_THRESHOLDEDGEDETECTION,0,1,0.25,GPUIMAGE_THRESHOLDEDGEDETECTION
图像黑白化,GPUIMAGE_LOCALBINARYPATTERN,1,5,1,GPUIMAGE_LOCALBINARYPATTERN
类似于油画,GPUIMAGE_BUFFER,,,,GPUIMAGE_BUFFER
图像加亮,GPUIMAGE_LOWPASS,0,1,0.5,GPUIMAGE_LOWPASS
图像低于某值时显示为黑,GPUIMAGE_HIGHPASS,0,1,0.5,GPUIMAGE_HIGHPASS
动作检测,GPUIMAGE_MOTIONDETECTOR,0,1,0.5,GPUIMAGE_MOTIONDETECTOR
素描,GPUIMAGE_SKETCH,0,1,0.25,GPUIMAGE_SKETCH
阀值素描,GPUIMAGE_THRESHOLDSKETCH,0,1,0.25,GPUIMAGE_THRESHOLDSKETCH
卡通效果,GPUIMAGE_TOON,,,,GPUIMAGE_TOON
卡通效果（更细腻）,GPUIMAGE_SMOOTHTOON,1,6,1,GPUIMAGE_SMOOTHTOON
CGA色彩滤镜,GPUIMAGE_CGA,,,,GPUIMAGE_CGA
3x3卷积_高亮大色块变黑_加亮边缘、线条等,GPUIMAGE_CONVOLUTION,,,,GPUIMAGE_CONVOLUTION
浮雕效果,GPUIMAGE_EMBOSS,0,5,1,GPUIMAGE_EMBOSS
灰色浮雕效果,GPUIMAGE_LAPLACIAN,,,,GPUIMAGE_LAPLACIAN
色调分离,GPUIMAGE_POSTERIZE,1,20,10,GPUIMAGE_POSTERIZE
漩涡,GPUIMAGE_SWIRL,0,2,1,GPUIMAGE_SWIRL
凸起失真_鱼眼效果,GPUIMAGE_BULGE,-1,1,0.5,GPUIMAGE_BULGE
球形折射_图形倒立,GPUIMAGE_SPHEREREFRACTION,0,1,0.15,GPUIMAGE_SPHEREREFRACTION
水晶球效果,GPUIMAGE_GLASSSPHERE,0,1,0.15,GPUIMAGE_GLASSSPHERE
收缩失真_凹面镜,GPUIMAGE_PINCH,-2,2,0.5,GPUIMAGE_PINCH
伸展失真_哈哈镜,GPUIMAGE_STRETCH,,,,GPUIMAGE_STRETCH
半径膨胀过滤器,GPUIMAGE_DILATION,,,,GPUIMAGE_DILATION
侵蚀过滤半径,GPUIMAGE_EROSION,,,,GPUIMAGE_EROSION
打开过滤半径,GPUIMAGE_OPENING,,,,GPUIMAGE_OPENING
关闭过滤半径,GPUIMAGE_CLOSING,,,,GPUIMAGE_CLOSING
柏林噪点,GPUIMAGE_PERLINNOISE,1,30,8,GPUIMAGE_PERLINNOISE
调节颜色简单滤镜,GPUIMAGE_CUSTOM,,,,GPUIMAGE_CUSTOM
桑原(Kuwahara)滤波,GPUIMAGE_KUWAHARA,3,8,3,GPUIMAGE_KUWAHARA
固定值桑原滤镜,GPUIMAGE_KUWAHARARADIUS3,,,,GPUIMAGE_KUWAHARARADIUS3
高斯模糊,GPUIMAGE_GAUSSIAN,0,24,2,GPUIMAGE_GAUSSIAN
盒状模糊,GPUIMAGE_BOXBLUR,0,24,2,GPUIMAGE_BOXBLUR
